58, 74, 58, 74, 58, 74, 58, 74, 23, 84, 73, 89, 89, 105, 39, 39, 39, 39, 39, 39, 39, 39, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74,
122, 138, 122, 138, 122, 138, 122, 138, 39, 84, 73, 89, 89, 105, 39, 39, 39, 39, 39, 39, 39, 23, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138,
58, 74, 58, 74, 58, 74, 58, 74, 39, 84, 73, 89, 89, 105, 39, 39, 39, 39, 39, 39, 39, 23, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74,
122, 138, 122, 138, 122, 138, 122, 138, 23, 84, 73, 89, 89, 105, 39, 39, 39, 39, 39, 39, 39, 39, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138,
58, 74, 58, 74, 58, 74, 58, 74, 23, 84, 73, 89, 89, 105, 39, 39, 39, 39, 39, 39, 39, 39, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74,
122, 138, 122, 138, 122, 138, 122, 138, 20, 36, 73, 89, 89, 105, 20, 20, 20, 20, 20, 20, 20, 20, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138,
58, 74, 58, 74, 58, 74, 58, 74, 39, 39, 73, 89, 89, 105, 39, 39, 39, 39, 39, 39, 39, 39, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74,
122, 138, 122, 138, 154, 170, 154, 170, 39, 39, 73, 89, 89, 105, 39, 39, 39, 39, 39, 39, 39, 23, 154, 170, 154, 170, 154, 170, 122, 138, 122, 138,
58, 74, 58, 74, 39, 39, 39, 23, 39, 39, 73, 89, 89, 105, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 117, 58, 74, 58, 74,
122, 138, 122, 138, 39, 39, 39, 39, 23, 39, 73, 89, 89, 105, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 101, 85, 85, 85, 85, 85, 25, 41, 41, 57, 21, 21, 21, 197, 69, 69, 69, 69, 69, 69, 69, 213, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 53, 23, 39, 39, 23, 39, 39, 39, 37, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 37, 21, 197, 69, 69, 69, 69, 69, 69, 69, 69, 213, 21, 165 ,85, 85, 85, 85, 85, 85, 85, 181, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 21, 53, 39, 22, 22, 22, 22, 22, 22, 39, 37, 197, 69, 69, 213, 197, 69, 69, 69, 69, 213, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 37, 21, 53, 39, 22, 22, 22, 22, 22, 22, 39, 37, 53, 465, 481, 497, 27, 513, 529, 545, 23, 37, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 21, 53, 23, 22, 22, 22, 22, 22, 22, 23, 37, 53, 353, 369, 385, 401, 417, 433, 449, 23, 37, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 37, 21, 165, 85, 20, 20, 20, 20, 20, 20, 85, 181, 53, 241, 257, 273, 289, 305, 321, 337, 39, 37, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 165, 129, 145, 161, 177, 193, 209, 225, 85, 181, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 37, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 197, 69, 69, 69, 213, 197, 69, 69, 69, 213, 197, 69, 69, 69, 213, 197, 69, 69, 69, 69, 213, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 37, 53, 23, 39, 336, 28, 352, 368, 384, 23, 37, 53, 23, 39, 336, 28, 352, 368, 384, 39, 39, 37, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 53, 23, 39, 256, 272, 288, 304, 320, 39, 37, 53, 23, 39, 256, 272, 288, 304, 320, 39, 23, 37, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 37, 53, 23, 39, 176, 192, 208, 224, 240, 23, 37, 53, 23, 39, 176, 192, 208, 224, 240, 39, 23, 37, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 53, 23, 39, 96, 112, 128, 144, 160, 23, 37, 53, 23, 39, 96, 112, 128, 144, 160, 39, 39, 37, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 37, 165, 85, 85, 85, 85, 85, 85, 85, 85, 181, 165, 85, 85, 85, 85, 85, 85, 85, 85, 85, 181, 21, 53, 58, 74, 58, 74,
122, 138, 122, 138, 37, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 53, 122, 138, 122, 138,
58, 74, 58, 74, 133, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 69, 213, 197, 69, 69, 69, 69, 69, 69, 69, 69, 69, 149, 58, 74, 58, 74,
122, 138, 122, 138, 26, 42, 26, 42, 26, 42, 26, 42, 26, 42, 26, 42, 37, 53, 26, 42, 26, 42, 26, 42, 26, 42, 26, 42, 122, 138, 122, 138,
58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 133, 149, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74,
122, 138, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138, 39, 39, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138, 122, 138,
58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 24, 24, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74, 58, 74,
154, 170, 154, 170, 154, 170, 154, 170, 154, 170, 154, 170, 154, 170, 154, 170, 24, 24, 154, 170, 154, 170, 154, 170, 154, 170, 154, 170, 154, 170, 154, 170,
14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 13, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14